playlist,added_at,artist_id,artist_name,track_id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,2iN5MhOgkenO5FtkPtEVAF,Wanitwa Mos,584B5N5x0phtVVpBtSNcPt,Dali Nguwe,0.848,0.568,2,-9.061,1,0.0397,0.0152,0.0019,0.0502,0.314,111.979,325876,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,523y9KSneKh6APd1hKxLuF,Master KG,584B5N5x0phtVVpBtSNcPt,Dali Nguwe,0.848,0.568,2,-9.061,1,0.0397,0.0152,0.0019,0.0502,0.314,111.979,325876,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,4AnNB3lPD0Sv7ziKVHqI66,Nkosazana Daughter,584B5N5x0phtVVpBtSNcPt,Dali Nguwe,0.848,0.568,2,-9.061,1,0.0397,0.0152,0.0019,0.0502,0.314,111.979,325876,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,5tOlDzzo2n5dhYJDG6GFbe,Basetsana,584B5N5x0phtVVpBtSNcPt,Dali Nguwe,0.848,0.568,2,-9.061,1,0.0397,0.0152,0.0019,0.0502,0.314,111.979,325876,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,1J33KW1wp9oQvxHKEC2OGJ,Obeey Amor,584B5N5x0phtVVpBtSNcPt,Dali Nguwe,0.848,0.568,2,-9.061,1,0.0397,0.0152,0.0019,0.0502,0.314,111.979,325876,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,2LIk90788K0zvyj2JJVwkJ,Jack Harlow,0LnS7aOdOdI1dNKZqdOLz4,Dua Lipa,0.833,0.652,11,-6.942,1,0.0762,0.00161,0.0985,0.106,0.405,158.022,135053,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,0.671,0.636,6,-8.117,0,0.103,0.515,4.11e-4,0.172,0.262,120.966,148197,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,6ydoSd3N2mwgwBHtF6K7eX,Calum Scott,3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,0.671,0.636,6,-8.117,0,0.103,0.515,4.11e-4,0.172,0.262,120.966,148197,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,56oDRnqbIiwx4mymNEv7dS,Lizzo,1PckUlxKqWQs3RlWXVBLw3,About Damn Time,0.836,0.743,10,-6.305,0,0.0656,0.0995,0,0.335,0.722,108.966,191822,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,6EG9v86LsCoq5HS4Jj1zCQ,Pabi Cooper,40KwdYRfKnTWTsXyxmR5bp,Banyana Ke Bafana,0.883,0.733,10,-7.567,0,0.0478,0.0411,3.39e-6,0.059,0.406,112.991,274154,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,2GJMSZ7M3D0KyyKRhYgWju,Focalistic,40KwdYRfKnTWTsXyxmR5bp,Banyana Ke Bafana,0.883,0.733,10,-7.567,0,0.0478,0.0411,3.39e-6,0.059,0.406,112.991,274154,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,2j4WQI5RTNgyEd7wbDTRe1,Ch'cco,40KwdYRfKnTWTsXyxmR5bp,Banyana Ke Bafana,0.883,0.733,10,-7.567,0,0.0478,0.0411,3.39e-6,0.059,0.406,112.991,274154,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,7gerFjrdrluHHDsuPSkXmH,LuuDadeejay,40KwdYRfKnTWTsXyxmR5bp,Banyana Ke Bafana,0.883,0.733,10,-7.567,0,0.0478,0.0411,3.39e-6,0.059,0.406,112.991,274154,4
