genre,track_album_release_year,valence_mean
punk,1984,0.8792
punk,1985,0.609
punk,1986,0.5933125
punk,1987,0.5535
punk,1988,0.439
punk,1989,0.636
punk,1990,0.4905
punk,1991,0.544923076923077
punk,1992,0.5965
punk,1993,0.5148571428571429
punk,1994,0.67936
punk,1995,0.5996538461538461
punk,1996,0.62315625
punk,1997,0.509
punk,1998,0.56268
punk,1999,0.5828888888888889
punk,2000,0.5766304347826087
punk,2001,0.5520961538461538
punk,2002,0.5569137931034482
punk,2003,0.5150186440677966
punk,2004,0.5230876923076924
punk,2005,0.5288258823529411
punk,2006,0.5013731343283582
punk,2007,0.5281282051282051
punk,2008,0.5135526315789474
punk,2009,0.5646083333333334
punk,2010,0.4914043956043956
punk,2011,0.5120390804597701
punk,2012,0.49990322580645163
punk,2013,0.5373652482269503
punk,2014,0.4833721153846154
punk,2015,0.5148222222222222
punk,2016,0.541509219858156
punk,2017,0.49666846153846156
punk,2018,0.5105097402597403
punk,2019,0.48096923076923076
punk,2020,0.4940484375
punk,2021,0.4576628959276018
punk,2022,0.49113382352941176
punk,NA,0.5809288503253797
r&b,1967,0.8
r&b,1968,0.847
r&b,1972,0.884
r&b,1973,0.636
r&b,1976,0.796
r&b,1978,0.377
r&b,1982,0.5555
r&b,1983,0.575
r&b,1985,0.30466666666666664
r&b,1986,0.951
r&b,1989,0.499
r&b,1990,0.7256666666666667
r&b,1991,0.559
r&b,1992,0.49241666666666667
r&b,1993,0.5193636363636364
r&b,1994,0.5727142857142857
r&b,1995,0.6583333333333333
r&b,1996,0.6244166666666666
r&b,1997,0.6325454545454545
r&b,1998,0.53417
r&b,1999,0.6702692307692307
r&b,2000,0.7095789473684211
r&b,2001,0.726725
r&b,2002,0.6709130434782609
r&b,2003,0.6934081632653061
r&b,2004,0.6641875
r&b,2005,0.5963260869565218
r&b,2006,0.6331212121212121
r&b,2007,0.5899214285714286
r&b,2008,0.582825
r&b,2009,0.5297666666666667
r&b,2010,0.46044054054054057
r&b,2011,0.4332576923076923
r&b,2012,0.43575862068965515
r&b,2013,0.4288763157894737
r&b,2014,0.43459565217391305
r&b,2015,0.43176521739130436
r&b,2016,0.3823546666666667
r&b,2017,0.3710126696832579
r&b,2018,0.3964248945147679
r&b,2019,0.4310372
r&b,2020,0.440392578125
r&b,2021,0.4606810865191147
r&b,2022,0.45617030651340995
r&b,NA,0.5840240740740741
reggae,1967,0.832
reggae,1969,0.944
reggae,1972,0.8575
reggae,1973,0.654
reggae,1975,0.587
reggae,1976,0.79
reggae,1977,0.7475
reggae,1978,0.7543333333333333
reggae,1979,0.5529999999999999
reggae,1980,0.678
reggae,1982,0.931
reggae,1983,0.475
reggae,1984,0.978
reggae,1987,0.697
reggae,1989,0.768
reggae,1990,0.6575
reggae,1991,0.6831666666666667
reggae,1992,0.7236666666666667
reggae,1993,0.6739999999999999
reggae,1994,0.6243333333333333
reggae,1995,0.6335
reggae,1996,0.7305714285714285
