candidate,twitter_handle,date_tweet_created,tweet,rolling_mean_7_day
Ganjar Pranowo,ganjarpranowo,2022-05-15,14,7.142857142857143
Ganjar Pranowo,ganjarpranowo,2022-05-16,6,7.285714285714286
Ganjar Pranowo,ganjarpranowo,2022-05-17,4,7.142857142857143
Ganjar Pranowo,ganjarpranowo,2022-05-18,6,7.571428571428571
Ganjar Pranowo,ganjarpranowo,2022-05-19,10,8.142857142857142
Ganjar Pranowo,ganjarpranowo,2022-05-20,2,7.714285714285714
Ganjar Pranowo,ganjarpranowo,2022-05-21,6,6.857142857142857
Ganjar Pranowo,ganjarpranowo,2022-05-22,5,5.571428571428571
Ganjar Pranowo,ganjarpranowo,2022-05-23,10,6.142857142857143
Ganjar Pranowo,ganjarpranowo,2022-05-24,8,6.714285714285714
Ganjar Pranowo,ganjarpranowo,2022-05-25,7,6.857142857142857
Ganjar Pranowo,ganjarpranowo,2022-05-26,4,6
Ganjar Pranowo,ganjarpranowo,2022-05-27,9,7
Ganjar Pranowo,ganjarpranowo,2022-05-28,7,7.142857142857143
Ganjar Pranowo,ganjarpranowo,2022-05-29,4,7
Ganjar Pranowo,ganjarpranowo,2022-05-30,2,5.857142857142857
Ganjar Pranowo,ganjarpranowo,2022-05-31,4,5.285714285714286
Ganjar Pranowo,ganjarpranowo,2022-06-01,6,5.142857142857143
Ganjar Pranowo,ganjarpranowo,2022-06-02,4,5.142857142857143
Ganjar Pranowo,ganjarpranowo,2022-06-03,3,4.285714285714286
Ganjar Pranowo,ganjarpranowo,2022-06-04,4,3.857142857142857
Ganjar Pranowo,ganjarpranowo,2022-06-05,6,4.142857142857143
Ganjar Pranowo,ganjarpranowo,2022-06-06,1,4
Ganjar Pranowo,ganjarpranowo,2022-06-07,6,4.285714285714286
Ganjar Pranowo,ganjarpranowo,2022-06-08,8,4.571428571428571
Ganjar Pranowo,ganjarpranowo,2022-06-09,6,4.857142857142857
Ganjar Pranowo,ganjarpranowo,2022-06-10,7,5.428571428571429
Ganjar Pranowo,ganjarpranowo,2022-06-11,3,5.285714285714286
Ganjar Pranowo,ganjarpranowo,2022-06-12,5,5.142857142857143
